symbol,RVOL_1m,VOL_1m,SPIKE_ret,SPIKE_vol,SPIKE_combo,RET_1m,LIQ_1m,RVOL_5m,VOL_5m,LIQ_5m,rvol_15m,VOL_15m,LIQ_daily,STAB,ATR_1m,SCORE
TSLA,0.32652279669820894,0.3345753807483247,0.05088495575221241,0.3544973544973544,0.5163398692810458,0.3233724917763461,0.7259707615300269,0.32261021483517016,0.32244534079512677,0.7249212120751036,0.41384887175068474,0.20510223211470066,0.7680440989302454,0.40767694676450617,0.7846618034722568,0.40677157556922516
NVDA,0.4138688794084233,0.2204603718485712,0.0,0.0,0.196078431372549,0.4021940561871866,0.6125520208624898,0.40144912167098834,0.2327788782123834,0.6113893123457474,0.6097192270383838,0.37042362966651,0.9229118654722307,1.0,0.21575680108795234,0.3997717544604512
AMD,0.5867127911742753,0.4008402326786611,0.09292035398230092,0.015873015873015817,0.27450980392156865,0.8235780034838094,0.2565128945548661,0.5779322071840953,0.43814791984856916,0.2559537615697652,0.7492520128714579,0.5398709176819112,0.22236541120285813,0.7090560563987731,0.41488668564167847,0.39008907238535917
SPY,0.324894208264471,0.0,0.013274336283185861,0.6507936507936511,0.12418300653594772,0.33682472596870033,1.0,0.321952853274889,0.0,0.9999999999999999,0.466804915554766,0.2711243270759569,1.0,0.6613500289142501,0.2477842370118349,0.33366700644558667
BE,0.6468430093034172,1.0,0.23451327433628322,0.27513227513227534,0.0,1.0,0.028921747240885132,0.6059104119161511,0.9999999999999999,0.028852386554498535,0.7101314251125492,1.0,0.0061248202193029695,0.04149322748009467,0.3903449128754295,0.3289361774665201
LMB,0.3764252555216059,0.5072965964596935,1.0,0.5449735449735451,1.0,0.0,0.0,0.4580258825653889,0.512119385355969,0.0,0.43705282127004175,0.0,0.0,0.037408976426292505,0.056064041119880885,0.2847501774337058
UEC,0.35986384376666347,0.7999856764107864,0.22787610619469034,0.8359788359788363,0.24183006535947715,0.29958645726897587,0.004002370473590044,0.3514764635842802,0.7971836793311273,0.004002549857900669,0.4629917255803502,0.4288699619611398,0.0017765372232020381,0.3615814721633496,0.0,0.2743522022067222
SEDG,0.5303283420047618,0.7957653270812697,0.3672566371681416,0.8412698412698418,0.33333333333333337,0.59231724143689,0.0027646834705250226,0.5172584643589593,0.7619910873846765,0.0027601740028250317,0.5026347952225967,0.3462929345802791,0.003136093990004295,0.024744171112492656,0.06788464294559562,0.2684280300040518
INTC,0.5090262477599512,0.4445071532038605,0.09734513274336276,0.3915343915343916,0.3267973856209151,0.7468668497303732,0.08112241234364573,0.4979229561316538,0.4606928693271001,0.08106350538885698,0.6971536411420454,0.7020880905233344,0.05426870333682894,0.08060487106823144,0.0344154535878723,0.26727015980322305
AMZN,0.5493946935725442,0.14595432511076678,0.15929203539823011,0.2063492063492065,0.09150326797385622,0.34345990404593857,0.19385152770071087,0.5452548234348193,0.15150013307139631,0.1935779566583173,0.5041854062712678,0.3149571859716429,0.20808978883297438,0.7857837703437035,0.18797462532943382,0.24760720294022107
COIN,0.5463026257726304,0.44886704124226373,0.12610619469026552,0.5449735449735451,0.12418300653594772,0.2126633790243036,0.05807910893215239,0.5419143826382831,0.4464237760554358,0.05797599290571275,0.748839910789715,0.07205563380265684,0.07291730023227024,0.45035000774809875,0.6821846623127354,0.22802396820810925
HIMS,0.35642585312309283,0.6290465822987202,0.26327433628318575,0.2592592592592595,0.4509803921568628,0.0031017074341098128,0.026921719783031605,0.35172851447754283,0.6233658452248798,0.026871713439524617,0.6063688567805459,0.23779513888340295,0.021169611116814816,0.047402845006083084,0.10662610164058534,0.21265884065998003
SBUX,0.6282619331869426,0.16703526150357195,0.37831858407079655,0.9417989417989423,0.47058823529411764,0.35157669391710594,0.01466560798404515,0.6213790053330053,0.16948228383383135,0.014636203267135522,0.7913879355256617,0.8724207567455815,0.022726225280403824,0.03803607143207966,0.03728116478109016,0.20824486541030765
MSFT,0.5088566220105402,0.08903368405697444,0.29424778761061954,0.2275132275132279,0.27450980392156865,0.3140508823265411,0.16694006450651053,0.5201612298288416,0.08623140667849652,0.16667549427792266,0.8408031708529391,0.2574013560293633,0.2099590169307748,0.2844914609065168,0.34968420256185495,0.19972871360788894
AMAT,0.5476746852323835,0.28151776394803807,0.2898230088495575,0.7354497354497358,0.24183006535947715,0.6187223452268135,0.028777877315642676,0.5551365360272644,0.2887872431025894,0.028727211475736942,0.9775850800900843,0.4361945555448127,0.027791672021281563,0.04372312910504752,0.2329526202175777,0.1971100523390198
META,1.0,0.1585191427997199,0.21238938053097356,0.36507936507936556,0.28104575163398693,0.10254036635182215,0.2093153228073767,1.0,0.157668797110332,0.2088912558456588,1.0000000000000009,0.1557946286999852,0.21070101724021545,0.18725042737207737,0.6946738115281937,0.19225490700935133
AAPL,0.2229532224106836,0.10905965119643772,0.17256637168141586,0.5555555555555562,0.2222222222222222,0.465803901994716,0.208743592475399,0.23804592759789234,0.1062449528960702,0.20844664742990207,0.43370345994070014,0.233343325537232,0.2830075374661901,0.1590805179317628,0.18309629973472294,0.18693699523030005
